id,miembros,dia_0,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,dia_7
0,4,52,38,12,82,33,75,64,76
1,4,26,4,82,5,11,47,38,6
2,3,100,54,25,12,27,82,10,89
3,2,2,95,1,96,32,6,40,31
4,4,53,1,47,93,26,3,46,16
5,4,32,59,12,3,60,26,35,50
6,2,88,4,1,3,91,32,39,57
7,5,25,11,52,48,10,17,88,50
8,4,18,60,1,12,89,33,16,10
9,7,1,88,39,50,26,18,96,47
10,7,96,92,8,5,67,12,57,34
11,7,19,75,39,44,2,68,53,89
12,6,52,98,53,1,39,67,87,24
13,2,54,52,25,53,1,60,10,12
14,2,45,25,34,38,88,16,1,4
15,2,22,4,82,10,5,58,75,1
16,3,46,50,1,17,52,74,7,21
17,4,47,52,74,5,4,40,79,61
18,3,75,87,74,38,52,13,10,4
19,2,3,12,5,1,7,26,49,44
20,6,3,88,17,68,32,73,25,1
21,5,56,1,45,69,31,4,80,38
22,6,61,33,1,82,60,10,92,17
23,3,19,82,18,73,11,68,3,94
24,6,75,95,24,4,38,52,3,1
25,3,16,11,12,53,3,98,25,61
26,2,58,95,4,25,66,62,53,94
27,4,38,95,1,43,88,39,9,4
28,5,81,27,54,21,45,67,33,2
29,4,89,8,1,82,80,67,54,11
30,3,68,53,57,52,75,44,47,5
31,3,74,7,82,59,68,57,3,9
32,3,24,75,15,53,45,28,29,10
33,3,32,96,1,54,4,61,97,44
34,3,46,52,40,17,15,67,59,18
35,3,31,87,98,61,19,88,95,65
36,6,47,33,82,4,1,10,52,26
37,2,15,81,82,87,88,74,8,34
38,5,13,68,1,26,47,3,66,46
39,4,10,9,59,35,1,90,81,96
40,6,25,81,82,8,73,31,24,52
41,8,31,5,92,45,35,59,32,17
42,8,81,89,45,12,80,5,94,1
43,2,11,1,7,40,15,12,4,55
44,2,49,1,32,45,46,82,24,60
45,4,5,82,46,55,81,48,60,33
46,3,15,88,67,52,82,10,1,26
47,4,45,19,1,38,27,94,66,80
48,4,32,5,21,54,52,53,1,79
49,2,33,45,4,17,54,88,55,40
50,6,67,50,43,5,95,56,54,29
51,2,28,26,67,75,54,23,39,52
52,2,33,53,76,70,81,10,4,26
53,4,37,22,1,66,12,89,5,29
54,3,94,69,73,25,26,49,39,80
55,3,91,2,6,54,45,16,89,59
56,5,12,1,80,10,75,49,11,82
57,4,31,1,95,32,82,92,74,38
58,4,74,32,61,39,80,26,59,84
59,4,39,15,5,27,25,88,13,45
60,2,1,98,88,28,54,17,97,79
61,4,18,15,19,96,28,59,17,54
62,6,1,39,68,33,82,40,89,24
63,5,31,73,54,63,22,67,14,89
64,3,3,12,47,29,94,31,81,38
65,5,47,87,20,17,2,53,57,6
66,8,1,66,82,39,25,81,47,53
67,5,1,94,45,21,10,73,35,54
68,7,89,85,78,58,18,48,27,67
69,4,5,22,94,75,64,25,73,68
70,3,32,1,11,5,7,100,10,3
71,4,11,46,71,39,27,49,23,22
72,3,66,38,26,35,52,6,96,68
73,3,10,52,18,22,23,1,67,33
74,4,82,28,66,61,47,87,56,6
75,4,53,52,16,1,26,56,58,42
76,4,46,79,98,24,61,47,66,40
77,4,20,31,12,72,79,61,81,38
78,5,52,53,66,67,47,25,10,54
79,7,1,37,82,61,35,4,45,42
80,2,18,47,10,1,52,74,61,19
81,4,17,1,4,54,39,87,14,89
82,4,32,8,11,1,47,35,94,81
83,2,88,59,14,53,52,68,12,26
84,6,9,13,73,39,43,6,26,11
85,3,54,10,28,39,16,21,5,45
86,3,29,1,45,53,14,88,8,92
87,2,25,68,73,38,43,89,54,36
88,4,57,75,83,34,12,73,1,94
89,2,23,17,68,12,14,39,75,28
90,6,54,52,17,33,26,75,96,1
91,4,17,54,33,1,67,8,4,24
92,2,85,1,74,37,19,89,63,4
93,3,5,33,39,1,73,10,43,69
94,3,47,10,73,96,45,94,78,1
95,4,24,53,68,32,74,25,73,89
96,6,75,1,88,31,58,13,41,67
97,4,96,24,48,89,36,1,77,57
98,4,3,1,11,73,26,89,31,28
99,3,39,23,18,88,61,22,46,66
100,6,39,5,80,1,19,75,88,94
